id,categoria,subcategoria,nombre,municipio,zona,direccion,latitud,longitud,telefono,sitio_web,horario,nivel_precio,precio_referencial,google_maps_url,place_id,rnt,descripcion,foto_url,estado,notas
TEQ-001,Hospedaje,Finca turística,Finca Villa Paola,Anapoima,Provincia del Tequendama,"Condominio Portales, vereda La Chica, Anapoima",4.5678997,-74.4993492,+57 311 2407139,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Villa%20Paola&query_place_id=ChIJeSjwiqdsP44RqYq-Ff2XAHM,ChIJeSjwiqdsP44RqYq-Ff2XAHM,,,,Pendiente,Reseñas dispares sobre mantenimiento y aseo; evaluar antes de publicar.
TEQ-002,Hospedaje,Glamping,Glamping Paraíso Escondido Anapoima,Anapoima,Provincia del Tequendama,"Muro Blanco, Anapoima",4.539169,-74.5546323,+57 314 4899196,,Lun–Sáb 7:00–23:00; Dom 7:00–22:00,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Glamping%20Paraíso%20Escondido%20Anapoima&query_place_id=ChIJ93jOlLEVP44RZK9ljqPB3JE,ChIJ93jOlLEVP44RZK9ljqPB3JE,,,,Pendiente,El punto en Maps queda lejos del lugar real y falta señalización; reseñas mixtas.
TEQ-003,Hospedaje,Hotel,Hotel Anapoima,Anapoima,Provincia del Tequendama,"Cl. 6 #3A-19, Anapoima",4.5515247,-74.5347098,+57 313 3880749,http://www.hotelanapoima.com/,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Anapoima&query_place_id=ChIJSahwRNAUP44RFkHxhCO6dA0,ChIJSahwRNAUP44RFkHxhCO6dA0,,,,Pendiente,"Estilo resort, apto para familias."
TEQ-004,Hospedaje,Hotel & spa,Hotel Le Falep & Spa,Anapoima,Provincia del Tequendama,"Anapoima, Cundinamarca",4.5538813,-74.5317743,+57 311 7465936,,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Le%20Falep%20%26%20Spa&query_place_id=ChIJkSaJi3xrP44R4HW9zjoBj_w,ChIJkSaJi3xrP44R4HW9zjoBj_w,,,,Pendiente,
TEQ-005,Hospedaje,Hotel boutique,La Masia Hotel Boutique,Anapoima,Provincia del Tequendama,"Vereda Las Mercedes, Anapoima",4.5753515,-74.5293597,+57 301 6449652,http://www.lamasiaanapoima.com/,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=La%20Masia%20Hotel%20Boutique&query_place_id=ChIJ4_o31D1rP44Rh8dDqBAjbjw,ChIJ4_o31D1rP44Rh8dDqBAjbjw,,,,Pendiente,Ubicación algo apartada; casi todo el plan es dentro del hotel.
TEQ-006,Hospedaje,Finca turística,Finca Campestre La Esperanza,Anolaima,Provincia del Tequendama,"Vereda Santa Bárbara km 4.7, Anolaima",4.7920841,-74.4615626,+57 310 2926970,,Abierto 24 h (según Google),,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Campestre%20La%20Esperanza&query_place_id=ChIJ8T8r8YhlP44RfBRildh55xI,ChIJ8T8r8YhlP44RfBRildh55xI,,,,Pendiente,"Estanque de pesca, salón de eventos; incluye desayuno y cena según reseñas."
TEQ-007,Hospedaje,Finca turística,Finca El Encanto (Anolaima),Anolaima,Provincia del Tequendama,"Anolaima, Cundinamarca",4.7589744,-74.4861831,,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20El%20Encanto%20%28Anolaima%29&query_place_id=ChIJz-HBZGdlP44Raom_Oi2hkPo,ChIJz-HBZGdlP44Raom_Oi2hkPo,,,,Pendiente,Sin teléfono en Google; verificar.
TEQ-008,Hospedaje,Glamping,Luz de Luna Glamping,Anolaima,Provincia del Tequendama,"Vereda Los Balsos, Matima, Anolaima",4.7860244,-74.4302974,+57 314 4106486,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Luz%20de%20Luna%20Glamping&query_place_id=ChIJ-YjsCCplP44R1dT2zlu0_Yg,ChIJ-YjsCCplP44R1dT2zlu0_Yg,,,,Pendiente,Lejos del casco urbano; admite mascotas.
TEQ-009,Hospedaje,Hospedaje campestre,Ubazhue Hospedaje Campestre,Anolaima,Provincia del Tequendama,"Anolaima, Cundinamarca",4.75943,-74.478656,+57 310 7517665,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Ubazhue%20Hospedaje%20Campestre&query_place_id=ChIJcfrkL0RlP44R43u6VO-rwbw,ChIJcfrkL0RlP44R43u6VO-rwbw,,,,Pendiente,Cerca de finca de cabras (Aprisco Europa).
TEQ-010,Hospedaje,Glamping,Alam Glamping,Apulo,Provincia del Tequendama,"Apulo, Cundinamarca",4.511,-74.6110278,+57 313 4884218,,Abierto 24 h (según Google),,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Alam%20Glamping&query_place_id=ChIJryvTdas_P44R-8QFHOv6jK0,ChIJryvTdas_P44R-8QFHOv6jK0,,,,Pendiente,"Domos, juegos y paseos en cuatrimoto según reseñas; admite mascotas."
TEQ-011,Hospedaje,Finca turística,Finca Bellavista Apulo,Apulo,Provincia del Tequendama,"Cl. 7 #5-60, Apulo",4.5164569,-74.5949076,+57 305 7524816,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Bellavista%20Apulo&query_place_id=ChIJI8qlEJw_P44RZ4gsXKrrdT8,ChIJI8qlEJw_P44RZ4gsXKrrdT8,,,,Pendiente,Cerca del casco urbano; pocas reseñas.
TEQ-012,Hospedaje,Finca turística,Finca de Alquiler (Apulo),Apulo,Provincia del Tequendama,"Apulo, Cundinamarca",4.5223104,-74.5448166,+57 301 2571440,,Abierto 24 h (según Google),,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20de%20Alquiler%20%28Apulo%29&query_place_id=ChIJcf9p4f0UP44R8Loq-EVe_s8,ChIJcf9p4f0UP44R8Loq-EVe_s8,,,,Pendiente,Nombre genérico en Google; confirmar nombre comercial con el propietario.
TEQ-013,Hospedaje,Hotel campestre,Hotel Campestre El Peñón de Apulo,Apulo,Provincia del Tequendama,"Cl. 23 N5-28, barrio La Agronómica, Apulo",4.5275909,-74.5856808,+57 310 8706743,,Recepción 24 h,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Campestre%20El%20Peñón%20de%20Apulo&query_place_id=ChIJ3wPgPnsVP44RbCMba-OVE48,ChIJ3wPgPnsVP44RbCMba-OVE48,,,,Pendiente,Bien valorado por servicio y atención.
TEQ-014,Hospedaje,Hotel,Hotel Los Balcones de Apulo,Apulo,Provincia del Tequendama,"Cl. 14 #6-23, Autopista, Apulo",4.522142,-74.592647,+57 311 5698146,,Recepción 24 h,,Confirmar si la tarifa es por persona o por habitación,https://www.google.com/maps/search/?api=1&query=Hotel%20Los%20Balcones%20de%20Apulo&query_place_id=ChIJ5b2LMH4VP44R5Fo_bQIc0ro,ChIJ5b2LMH4VP44R5Fo_bQIc0ro,,,,Pendiente,"Piscina en terraza; reseñas mixtas, algunas por precios poco claros. Confirmar si la tarifa es por persona."
TEQ-015,Hospedaje,Glamping,Elementium Glamping,Cachipay,Provincia del Tequendama,"Cachipay, Cundinamarca",4.7270625,-74.4449375,+57 321 4180046,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Elementium%20Glamping&query_place_id=ChIJfUfOs2pvP44RKNSNRSBpne0,ChIJfUfOs2pvP44RKNSNRSBpne0,,,,Pendiente,Muy bien valorado; carpas temáticas.
TEQ-016,Hospedaje,Finca turística,Finca Turística San Miguel,Cachipay,Provincia del Tequendama,"Cachipay, Cundinamarca",4.7576129,-74.4279055,,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Finca%20Turística%20San%20Miguel&query_place_id=ChIJeYEKJphlP44RMiB-9zpxQz4,ChIJeYEKJphlP44RMiB-9zpxQz4,,,,Pendiente,Acceso a quebrada; admite mascotas; sin teléfono en Google.
TEQ-017,Hospedaje,Hotel,Hotel Letty,Cachipay,Provincia del Tequendama,"Centro, Cachipay",4.7316029,-74.4371023,+57 300 7081106,,,,Consultar con el proveedor,https://www.google.com/maps/search/?api=1&query=Hotel%20Letty&query_place_id=ChIJ4zkHRmxlP44RKg-zaAEg7s4,ChIJ4zkHRmxlP44RKg-zaAEg7s4,,,,Pendiente,Céntrico y económico según reseñas.
